Frame,Object Name,X,Y
0,olivier_lp.011,956,472
0,olivier_lp.011,815,23
0,olivier_lp.011,355,34
0,olivier_lp.009,10,46
0,olivier_lp.009,634,250
0,olivier_lp.009,642,14
0,olivier_lp.007,140,97
0,olivier_lp.007,289,78
0,olivier_lp.007,59,114
0,olivier_lp.007,298,231
0,olivier_lp.007,471,77
0,olivier_lp.007,3,11
0,olivier_lp.007,135,25
0,olivier_lp.005,321,392
0,olivier_lp.005,452,238
0,olivier_lp,31,367
0,olivier_lp,793,131
0,eric_lp.011,649,347
0,eric_lp.011,9,317
0,eric_lp.011,35,100
0,eric_lp.011,813,15
0,eric_lp.009,806,73
0,eric_lp.007,178,11
0,eric_lp.005,399,308
0,eric_lp.005,316,152
0,eric_lp.003,683,0
0,eric_lp.003,645,13
0,eric_lp.003,662,3
0,eric_lp,221,441
0,eric_lp,698,145
0,eric_lp,266,251
0,arnaud_lp.011,520,176
0,arnaud_lp.011,897,235
0,arnaud_lp.011,354,59
0,arnaud_lp.011,153,41
0,arnaud_lp.009,230,37
0,arnaud_lp.007,196,198
0,arnaud_lp.007,736,128
0,arnaud_lp.007,394,214
0,arnaud_lp.005,876,95
0,arnaud_lp.005,234,66
0,arnaud_lp.005,808,13
0,arnaud_lp.003,647,389
0,arnaud_lp.003,665,460
0,arnaud_lp.003,433,36
0,arnaud_lp,161,278
0,arnaud_lp,684,309
0,arnaud_lp,152,182
0,arnaud_lp,189,144
0,arnaud_lp,140,96
0,arnaud_lp,243,144
0,arnaud_lp,689,6
1,olivier_lp.011,959,472
1,olivier_lp.011,817,23
1,olivier_lp.011,356,34
1,olivier_lp.009,8,46
1,olivier_lp.009,631,251
1,olivier_lp.009,644,14
1,olivier_lp.007,142,96
1,olivier_lp.007,287,78
1,olivier_lp.007,57,113
1,olivier_lp.007,296,231
1,olivier_lp.007,473,77
1,olivier_lp.007,4,11
1,olivier_lp.007,137,24
1,olivier_lp.005,319,393
1,olivier_lp.005,453,238
1,olivier_lp,33,367
1,olivier_lp,792,131
1,eric_lp.011,652,347
1,eric_lp.011,12,316
1,eric_lp.011,37,100
1,eric_lp.011,811,16
1,eric_lp.009,804,73
1,eric_lp.007,179,11
1,eric_lp.005,401,308
1,eric_lp.005,315,153
1,eric_lp.003,684,0
1,eric_lp.003,646,13
1,eric_lp.003,663,3
1,eric_lp,223,441
1,eric_lp,699,145
1,eric_lp,267,251
1,arnaud_lp.011,522,176
1,arnaud_lp.011,900,236
1,arnaud_lp.011,352,59
1,arnaud_lp.011,155,42
1,arnaud_lp.009,228,37
1,arnaud_lp.007,194,198
1,arnaud_lp.007,738,128
1,arnaud_lp.007,391,214
1,arnaud_lp.005,875,95
1,arnaud_lp.005,233,66
1,arnaud_lp.005,807,13
1,arnaud_lp.003,646,390
1,arnaud_lp.003,667,460
1,arnaud_lp.003,434,36
1,arnaud_lp,160,278
1,arnaud_lp,682,309
1,arnaud_lp,150,182
1,arnaud_lp,188,144
1,arnaud_lp,139,96
1,arnaud_lp,245,144
1,arnaud_lp,690,6
2,olivier_lp.011,818,23
2,olivier_lp.011,358,34
2,olivier_lp.009,6,46
2,olivier_lp.009,628,251
2,olivier_lp.009,646,14
2,olivier_lp.007,144,96
2,olivier_lp.007,285,78
2,olivier_lp.007,55,113
2,olivier_lp.007,293,230
2,olivier_lp.007,475,77
2,olivier_lp.007,6,11
2,olivier_lp.007,138,24
2,olivier_lp.005,317,393
2,olivier_lp.005,455,238
2,olivier_lp,34,367
2,olivier_lp,791,131
2,eric_lp.011,655,346
2,eric_lp.011,15,316
2,eric_lp.011,39,100
2,eric_lp.011,810,16
2,eric_lp.009,802,73
2,eric_lp.007,181,11
2,eric_lp.005,402,308
2,eric_lp.005,314,153
2,eric_lp.003,685,0
2,eric_lp.003,647,13
2,eric_lp.003,664,3
2,eric_lp,225,441
2,eric_lp,700,145
2,eric_lp,269,252
2,arnaud_lp.011,524,176
2,arnaud_lp.011,903,237
2,arnaud_lp.011,350,60
2,arnaud_lp.011,157,42
2,arnaud_lp.009,226,37
2,arnaud_lp.007,191,198
2,arnaud_lp.007,740,128
2,arnaud_lp.007,389,214
2,arnaud_lp.005,874,95
2,arnaud_lp.005,233,66
2,arnaud_lp.005,806,13
2,arnaud_lp.003,644,390
2,arnaud_lp.003,668,460
2,arnaud_lp.003,435,36
2,arnaud_lp,158,279
2,arnaud_lp,680,309
2,arnaud_lp,149,182
2,arnaud_lp,186,144
2,arnaud_lp,138,96
2,arnaud_lp,246,144
2,arnaud_lp,691,6
3,olivier_lp.011,820,23
3,olivier_lp.011,359,33
3,olivier_lp.009,4,46
3,olivier_lp.009,626,251
3,olivier_lp.009,647,15
3,olivier_lp.007,146,96
3,olivier_lp.007,283,78
3,olivier_lp.007,53,113
3,olivier_lp.007,291,231
3,olivier_lp.007,477,77
3,olivier_lp.007,7,11
3,olivier_lp.007,140,24
3,olivier_lp.005,315,393
3,olivier_lp.005,456,238
3,olivier_lp,36,367
3,olivier_lp,790,130
3,eric_lp.011,657,346
3,eric_lp.011,18,316
3,eric_lp.011,41,100
3,eric_lp.011,808,16
3,eric_lp.009,800,72
3,eric_lp.007,183,11
3,eric_lp.005,404,308
3,eric_lp.005,313,153
3,eric_lp.003,686,0
3,eric_lp.003,648,13
3,eric_lp.003,664,3
3,eric_lp,227,441
3,eric_lp,702,146
3,eric_lp,271,252
3,arnaud_lp.011,527,177
3,arnaud_lp.011,906,237
3,arnaud_lp.011,348,60
3,arnaud_lp.011,158,42
3,arnaud_lp.009,224,37
3,arnaud_lp.007,189,198
3,arnaud_lp.007,742,128
3,arnaud_lp.007,387,214
3,arnaud_lp.005,873,95
3,arnaud_lp.005,232,66
3,arnaud_lp.005,805,13
3,arnaud_lp.003,643,390
3,arnaud_lp.003,670,460
3,arnaud_lp.003,436,36
3,arnaud_lp,157,279
3,arnaud_lp,679,310
3,arnaud_lp,148,183
3,arnaud_lp,185,144
3,arnaud_lp,137,96
3,arnaud_lp,247,144
3,arnaud_lp,692,6
4,olivier_lp.011,821,23
4,olivier_lp.011,361,33
4,olivier_lp.009,3,46
4,olivier_lp.009,623,252
4,olivier_lp.009,649,15
4,olivier_lp.007,148,96
4,olivier_lp.007,281,78
4,olivier_lp.007,51,113
4,olivier_lp.007,288,231
4,olivier_lp.007,479,77
4,olivier_lp.007,9,11
4,olivier_lp.007,142,24
4,olivier_lp.005,314,394
4,olivier_lp.005,457,238
4,olivier_lp,37,367
4,olivier_lp,789,130
4,eric_lp.011,660,346
4,eric_lp.011,21,315
4,eric_lp.011,43,100
4,eric_lp.011,807,15
4,eric_lp.009,798,72
4,eric_lp.007,184,11
4,eric_lp.005,405,308
4,eric_lp.005,312,153
4,eric_lp.003,687,0
4,eric_lp.003,649,13
4,eric_lp.003,665,4
4,eric_lp,229,441
4,eric_lp,703,146
4,eric_lp,273,252
4,arnaud_lp.011,529,177
4,arnaud_lp.011,909,237
4,arnaud_lp.011,346,60
4,arnaud_lp.011,160,43
4,arnaud_lp.009,223,37
4,arnaud_lp.007,187,198
4,arnaud_lp.007,744,127
4,arnaud_lp.007,385,214
4,arnaud_lp.005,872,95
4,arnaud_lp.005,231,66
4,arnaud_lp.005,804,13
4,arnaud_lp.003,641,390
4,arnaud_lp.003,672,459
4,arnaud_lp.003,437,36
4,arnaud_lp,155,279
4,arnaud_lp,677,310
4,arnaud_lp,146,183
4,arnaud_lp,184,145
4,arnaud_lp,135,96
4,arnaud_lp,249,144
4,arnaud_lp,693,6
5,olivier_lp.011,823,23
5,olivier_lp.011,362,33
5,olivier_lp.009,1,46
5,olivier_lp.009,621,252
5,olivier_lp.009,650,15
5,olivier_lp.007,150,96
5,olivier_lp.007,280,78
5,olivier_lp.007,49,113
5,olivier_lp.007,285,231
5,olivier_lp.007,481,77
5,olivier_lp.007,11,11
5,olivier_lp.007,143,25
5,olivier_lp.005,312,394
5,olivier_lp.005,458,238
5,olivier_lp,39,367
5,olivier_lp,788,130
5,eric_lp.011,663,346
5,eric_lp.011,23,315
5,eric_lp.011,45,100
5,eric_lp.011,805,15
5,eric_lp.009,797,72
5,eric_lp.007,185,11
5,eric_lp.005,407,308
5,eric_lp.005,310,154
5,eric_lp.003,688,0
5,eric_lp.003,650,13
5,eric_lp.003,667,4
5,eric_lp,231,442
5,eric_lp,704,146
5,eric_lp,274,252
5,arnaud_lp.011,531,177
5,arnaud_lp.011,911,238
5,arnaud_lp.011,345,60
5,arnaud_lp.011,162,43
5,arnaud_lp.009,221,37
5,arnaud_lp.007,185,198
5,arnaud_lp.007,746,127
5,arnaud_lp.007,383,213
5,arnaud_lp.005,871,95
5,arnaud_lp.005,230,66
5,arnaud_lp.005,803,13
5,arnaud_lp.003,640,390
5,arnaud_lp.003,673,459
5,arnaud_lp.003,438,36
5,arnaud_lp,154,280
5,arnaud_lp,676,310
5,arnaud_lp,145,183
5,arnaud_lp,183,145
5,arnaud_lp,134,96
5,arnaud_lp,250,144
5,arnaud_lp,694,6
6,olivier_lp.011,824,23
6,olivier_lp.011,364,33
6,olivier_lp.009,618,252
6,olivier_lp.009,652,15
6,olivier_lp.007,152,97
6,olivier_lp.007,278,78
6,olivier_lp.007,47,113
6,olivier_lp.007,283,231
6,olivier_lp.007,483,77
6,olivier_lp.007,12,11
6,olivier_lp.007,145,25
6,olivier_lp.005,310,394
6,olivier_lp.005,459,238
6,olivier_lp,40,367
6,olivier_lp,787,130
6,eric_lp.011,665,345
6,eric_lp.011,26,314
6,eric_lp.011,46,100
6,eric_lp.011,804,15
6,eric_lp.009,795,71
6,eric_lp.007,187,11
6,eric_lp.005,408,308
6,eric_lp.005,309,154
6,eric_lp.003,689,0
6,eric_lp.003,651,14
6,eric_lp.003,668,4
6,eric_lp,233,442
6,eric_lp,706,146
6,eric_lp,276,252
6,arnaud_lp.011,534,177
6,arnaud_lp.011,914,238
6,arnaud_lp.011,343,59
6,arnaud_lp.011,163,43
6,arnaud_lp.009,219,38
6,arnaud_lp.007,183,198
6,arnaud_lp.007,748,127
6,arnaud_lp.007,380,213
6,arnaud_lp.005,870,95
6,arnaud_lp.005,229,66
6,arnaud_lp.005,802,13
6,arnaud_lp.003,638,390
6,arnaud_lp.003,675,459
6,arnaud_lp.003,438,36
6,arnaud_lp,152,280
6,arnaud_lp,674,310
6,arnaud_lp,144,183
6,arnaud_lp,182,145
6,arnaud_lp,133,96
6,arnaud_lp,251,144
6,arnaud_lp,694,6
7,olivier_lp.011,826,23
7,olivier_lp.011,365,33
7,olivier_lp.009,616,252
7,olivier_lp.009,653,15
7,olivier_lp.007,154,97
7,olivier_lp.007,276,78
7,olivier_lp.007,45,113
7,olivier_lp.007,280,231
7,olivier_lp.007,485,77
7,olivier_lp.007,14,11
7,olivier_lp.007,147,25
7,olivier_lp.005,309,394
7,olivier_lp.005,461,238
7,olivier_lp,41,367
7,olivier_lp,786,130
7,eric_lp.011,668,345
7,eric_lp.011,29,314
7,eric_lp.011,48,100
7,eric_lp.011,802,15
7,eric_lp.009,793,71
7,eric_lp.007,188,10
7,eric_lp.005,410,307
7,eric_lp.005,309,154
7,eric_lp.003,690,0
7,eric_lp.003,652,14
7,eric_lp.003,669,4
7,eric_lp,235,443
7,eric_lp,707,147
7,eric_lp,278,253
7,arnaud_lp.011,536,177
7,arnaud_lp.011,917,238
7,arnaud_lp.011,341,59
7,arnaud_lp.011,165,42
7,arnaud_lp.009,217,38
7,arnaud_lp.007,180,198
7,arnaud_lp.007,750,127
7,arnaud_lp.007,378,213
7,arnaud_lp.005,869,95
7,arnaud_lp.005,227,66
7,arnaud_lp.005,801,13
7,arnaud_lp.003,636,390
7,arnaud_lp.003,677,459
7,arnaud_lp.003,439,36
7,arnaud_lp,151,280
7,arnaud_lp,673,310
7,arnaud_lp,143,183
7,arnaud_lp,181,145
7,arnaud_lp,132,96
7,arnaud_lp,252,144
7,arnaud_lp,695,6
8,olivier_lp.011,827,23
8,olivier_lp.011,367,32
8,olivier_lp.009,614,252
8,olivier_lp.009,655,14
8,olivier_lp.007,156,97
8,olivier_lp.007,274,79
8,olivier_lp.007,43,113
8,olivier_lp.007,277,232
8,olivier_lp.007,487,78
8,olivier_lp.007,16,12
8,olivier_lp.007,149,25
8,olivier_lp.005,307,394
8,olivier_lp.005,462,237
8,olivier_lp,43,367
8,olivier_lp,785,130
8,eric_lp.011,671,345
8,eric_lp.011,31,314
8,eric_lp.011,50,99
8,eric_lp.011,801,15
8,eric_lp.009,792,71
8,eric_lp.007,189,10
8,eric_lp.005,411,307
8,eric_lp.005,308,154
8,eric_lp.003,691,1
8,eric_lp.003,653,14
8,eric_lp.003,669,4
8,eric_lp,236,443
8,eric_lp,708,147
8,eric_lp,279,253
8,arnaud_lp.011,538,177
8,arnaud_lp.011,919,238
8,arnaud_lp.011,339,59
8,arnaud_lp.011,166,42
8,arnaud_lp.009,215,38
8,arnaud_lp.007,178,198
8,arnaud_lp.007,752,127
8,arnaud_lp.007,376,213
8,arnaud_lp.005,868,95
8,arnaud_lp.005,226,66
8,arnaud_lp.005,800,13
8,arnaud_lp.003,635,390
8,arnaud_lp.003,678,459
8,arnaud_lp.003,440,36
8,arnaud_lp,150,280
8,arnaud_lp,672,310
8,arnaud_lp,141,183
8,arnaud_lp,180,145
8,arnaud_lp,131,96
8,arnaud_lp,253,144
8,arnaud_lp,696,6
9,olivier_lp.011,829,23
9,olivier_lp.011,368,32
9,olivier_lp.009,612,251
9,olivier_lp.009,656,14
9,olivier_lp.007,158,98
9,olivier_lp.007,272,79
9,olivier_lp.007,41,113
9,olivier_lp.007,274,232
9,olivier_lp.007,489,78
9,olivier_lp.007,17,12
9,olivier_lp.007,150,26
9,olivier_lp.005,305,394
