frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,45,41,4,11,0.911,0.788,0.845,3.055,5.534
2,52,47,41,3,11,0.932,0.788,0.854,2.902,0.199
3,51,46,41,5,10,0.891,0.804,0.845,2.674,0.197
4,51,43,42,4,9,0.913,0.824,0.866,2.841,0.197
5,51,47,41,8,10,0.837,0.804,0.82,2.786,0.201
6,51,49,42,8,9,0.84,0.824,0.832,3.02,0.207
7,50,44,38,13,12,0.745,0.76,0.752,2.915,0.208
8,50,45,38,13,12,0.745,0.76,0.752,2.7,0.213
9,50,46,41,9,9,0.82,0.82,0.82,3.219,0.207
10,50,45,38,13,12,0.745,0.76,0.752,3.087,0.208
11,50,46,39,12,11,0.765,0.78,0.772,3.102,0.207
12,51,48,41,8,10,0.837,0.804,0.82,3.182,0.209
13,51,47,45,5,6,0.9,0.882,0.891,3.236,0.208
14,51,45,44,6,7,0.88,0.863,0.871,3.205,0.208
15,51,46,43,7,8,0.86,0.843,0.851,3.183,0.21
16,51,45,45,5,6,0.9,0.882,0.891,3.179,9.123
17,51,45,45,5,6,0.9,0.882,0.891,3.291,-9.204
18,51,47,44,5,7,0.898,0.863,0.88,3.35,0.208
19,51,46,44,5,7,0.898,0.863,0.88,3.245,0.207
20,51,46,44,5,7,0.898,0.863,0.88,3.235,0.209
21,51,46,44,5,7,0.898,0.863,0.88,3.079,0.208
22,51,46,46,4,5,0.92,0.902,0.911,3.149,0.211
23,51,47,45,4,6,0.918,0.882,0.9,3.155,0.208
24,51,48,42,7,9,0.857,0.824,0.84,3.081,0.208
25,50,47,41,9,9,0.82,0.82,0.82,3.083,0.209
26,50,48,41,9,9,0.82,0.82,0.82,3.124,0.21
27,53,46,49,2,4,0.961,0.925,0.942,3.489,0.212
28,53,47,50,1,3,0.98,0.943,0.962,3.63,0.213
29,53,50,49,3,4,0.942,0.925,0.933,3.524,0.208
30,53,50,45,8,8,0.849,0.849,0.849,3.37,0.209
31,52,50,48,6,4,0.889,0.923,0.906,3.405,0.209
32,52,50,47,7,5,0.87,0.904,0.887,3.079,0.211
33,52,47,45,9,7,0.833,0.865,0.849,3.082,0.21
34,52,49,49,6,3,0.891,0.942,0.916,3.128,0.208
35,52,48,49,6,3,0.891,0.942,0.916,3.192,0.209
36,52,49,46,8,6,0.852,0.885,0.868,3.301,0.21
37,52,48,44,8,8,0.846,0.846,0.846,3.144,0.21
38,52,50,46,5,6,0.902,0.885,0.893,3.203,0.22
39,52,49,45,8,7,0.849,0.865,0.857,3.052,0.216
40,52,50,47,8,5,0.855,0.904,0.879,3.092,0.211
41,52,48,48,6,4,0.889,0.923,0.906,3.152,9.139
42,52,46,47,6,5,0.887,0.904,0.895,3.08,-9.197
43,52,46,47,6,5,0.887,0.904,0.895,3.064,0.223
44,52,48,49,2,3,0.961,0.942,0.951,3.058,0.224
45,52,46,50,1,2,0.98,0.962,0.971,2.857,0.223
46,52,51,48,5,4,0.906,0.923,0.914,2.787,0.224
47,52,49,47,6,5,0.887,0.904,0.895,2.765,0.223
48,52,48,47,6,5,0.887,0.904,0.895,2.666,0.223
49,52,46,48,5,4,0.906,0.923,0.914,2.804,0.226
50,52,47,48,5,4,0.906,0.923,0.914,2.799,0.231
51,52,48,49,4,3,0.925,0.942,0.933,2.766,0.226
52,52,50,49,2,3,0.961,0.942,0.951,2.692,0.224
53,53,48,49,0,4,1.0,0.925,0.961,2.727,0.224
54,55,46,49,0,6,1.0,0.891,0.942,2.825,0.234
55,55,49,50,1,5,0.98,0.909,0.943,3.003,0.26
56,55,50,51,1,4,0.981,0.927,0.953,3.208,0.262
57,55,51,52,0,3,1.0,0.945,0.972,3.59,0.233
58,56,49,52,1,4,0.981,0.929,0.954,3.485,0.227
59,56,49,52,1,4,0.981,0.929,0.954,3.477,0.229
60,56,50,53,1,3,0.981,0.946,0.964,3.481,0.231
61,56,50,52,2,4,0.963,0.929,0.945,3.153,0.26
62,56,50,53,0,3,1.0,0.946,0.972,3.153,0.256
63,56,51,53,0,3,1.0,0.946,0.972,3.093,9.186
64,57,52,52,0,5,1.0,0.912,0.954,2.876,-9.171
65,57,51,52,0,5,1.0,0.912,0.954,2.804,0.258
66,57,53,53,1,4,0.981,0.93,0.955,2.654,0.259
67,57,52,51,3,6,0.944,0.895,0.919,2.741,0.26
68,58,52,53,1,5,0.981,0.914,0.946,3.06,0.263
69,58,48,52,2,6,0.963,0.897,0.929,3.068,0.232
70,58,46,52,2,6,0.963,0.897,0.929,3.228,0.224
71,58,51,52,2,6,0.963,0.897,0.929,3.639,0.263
72,58,55,51,3,7,0.944,0.879,0.911,3.812,0.268
73,58,58,50,8,8,0.862,0.862,0.862,4.051,0.265
74,59,54,50,9,9,0.847,0.847,0.847,4.137,0.264
75,59,56,50,9,9,0.847,0.847,0.847,4.146,0.268
76,59,57,52,8,7,0.867,0.881,0.874,4.343,0.267
77,59,55,54,7,5,0.885,0.915,0.9,4.196,0.268
78,59,51,55,6,4,0.902,0.932,0.917,4.091,0.269
