frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,45,41,4,11,0.911,0.788,0.845,3.054,8.218
2,52,47,41,3,11,0.932,0.788,0.854,2.902,0.18
3,51,46,41,5,10,0.891,0.804,0.845,2.684,0.177
4,51,43,42,4,9,0.913,0.824,0.866,2.846,0.177
5,51,47,43,2,8,0.956,0.843,0.896,2.813,0.181
6,51,49,44,3,7,0.936,0.863,0.898,3.032,0.182
7,50,44,38,11,12,0.776,0.76,0.768,2.702,0.187
8,50,45,43,3,7,0.935,0.86,0.896,2.899,0.186
9,50,46,44,2,6,0.957,0.88,0.917,3.132,0.186
10,50,45,42,5,8,0.894,0.84,0.866,3.04,0.188
11,50,46,44,2,6,0.957,0.88,0.917,3.233,0.188
12,51,48,44,2,7,0.957,0.863,0.907,3.233,0.188
13,51,47,47,0,4,1.0,0.922,0.959,3.248,0.187
14,51,45,47,0,4,1.0,0.922,0.959,3.123,0.185
15,51,46,46,0,5,1.0,0.902,0.948,3.042,0.187
16,51,45,46,1,5,0.979,0.902,0.939,3.174,0.186
17,51,45,41,5,10,0.891,0.804,0.845,3.357,0.186
18,51,47,42,4,9,0.913,0.824,0.866,3.464,0.188
19,51,46,45,1,6,0.978,0.882,0.928,3.078,0.186
20,51,46,43,3,8,0.935,0.843,0.887,3.05,0.187
21,51,46,43,3,8,0.935,0.843,0.887,2.863,0.19
22,51,46,45,2,6,0.957,0.882,0.918,3.039,0.189
23,51,47,47,0,4,1.0,0.922,0.959,3.054,0.188
24,51,48,47,0,4,1.0,0.922,0.959,3.198,0.186
25,50,47,46,2,4,0.958,0.92,0.939,3.116,0.187
26,50,48,47,0,3,1.0,0.94,0.969,3.014,0.188
27,53,46,48,0,5,1.0,0.906,0.95,3.108,0.187
28,53,47,47,0,6,1.0,0.887,0.94,3.317,0.185
29,53,50,49,1,4,0.98,0.925,0.951,3.354,0.19
30,53,50,44,6,9,0.88,0.83,0.854,3.071,0.187
31,52,50,43,8,9,0.843,0.827,0.835,3.034,0.188
32,52,50,43,7,9,0.86,0.827,0.843,3.0,0.188
33,52,47,44,6,8,0.88,0.846,0.863,2.974,0.188
34,52,49,46,2,6,0.958,0.885,0.92,2.93,0.188
35,52,48,45,4,7,0.918,0.865,0.891,2.887,0.187
36,52,49,46,3,6,0.939,0.885,0.911,3.013,0.187
37,52,48,47,2,5,0.959,0.904,0.931,2.838,0.189
38,52,50,46,1,6,0.979,0.885,0.929,2.895,0.189
39,52,49,47,1,5,0.979,0.904,0.94,3.046,0.201
40,52,50,47,3,5,0.94,0.904,0.922,2.812,0.194
41,52,48,48,1,4,0.98,0.923,0.95,2.959,0.189
42,52,46,48,0,4,1.0,0.923,0.96,3.012,0.189
43,52,46,47,0,5,1.0,0.904,0.949,2.742,0.191
44,52,48,46,0,6,1.0,0.885,0.939,2.722,0.189
45,52,46,45,2,7,0.957,0.865,0.909,2.659,0.189
46,52,51,46,2,6,0.958,0.885,0.92,2.978,0.188
47,52,49,49,1,3,0.98,0.942,0.961,2.981,0.188
48,52,48,47,3,5,0.94,0.904,0.922,3.296,0.188
49,52,46,47,1,5,0.979,0.904,0.94,2.889,0.189
50,52,47,47,0,5,1.0,0.904,0.949,2.808,0.196
51,52,48,46,1,6,0.979,0.885,0.929,2.724,0.19
52,52,50,48,2,4,0.96,0.923,0.941,2.746,0.189
53,53,48,49,1,4,0.98,0.925,0.951,2.955,0.189
54,55,46,48,0,7,1.0,0.873,0.932,2.795,0.19
55,55,49,47,1,8,0.979,0.855,0.913,3.122,0.19
56,55,50,47,1,8,0.979,0.855,0.913,3.167,0.19
57,55,51,48,2,7,0.96,0.873,0.914,3.303,0.189
58,56,49,49,1,7,0.98,0.875,0.925,3.243,0.19
59,56,49,49,1,7,0.98,0.875,0.925,3.3,0.191
60,56,50,49,1,7,0.98,0.875,0.925,2.926,0.194
61,56,50,50,0,6,1.0,0.893,0.943,2.806,0.199
62,56,50,50,0,6,1.0,0.893,0.943,2.776,0.2
63,56,51,50,0,6,1.0,0.893,0.943,2.762,0.201
