frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,46,42,4,10,0.913,0.808,0.857,3.536,6.084
2,52,48,43,3,9,0.935,0.827,0.878,3.418,0.198
3,51,48,40,8,11,0.833,0.784,0.808,3.359,0.198
4,51,47,43,7,8,0.86,0.843,0.851,2.967,0.204
5,51,49,45,4,6,0.918,0.882,0.9,3.082,0.206
6,51,49,41,9,10,0.82,0.804,0.812,3.416,0.209
7,50,47,35,15,15,0.7,0.7,0.7,3.233,0.207
8,50,44,41,6,9,0.872,0.82,0.845,3.153,0.206
9,50,48,43,3,7,0.935,0.86,0.896,3.631,0.205
10,50,45,43,4,7,0.915,0.86,0.887,3.414,0.207
11,50,48,44,3,6,0.936,0.88,0.907,3.322,0.21
12,51,47,44,4,7,0.917,0.863,0.889,3.23,0.21
13,51,47,44,4,7,0.917,0.863,0.889,3.2,0.211
14,51,46,47,0,4,1.0,0.922,0.959,3.214,0.21
15,51,45,46,0,5,1.0,0.902,0.948,3.132,0.207
16,51,46,46,1,5,0.979,0.902,0.939,3.218,0.208
17,51,46,43,4,8,0.915,0.843,0.878,3.667,0.206
18,51,47,43,4,8,0.915,0.843,0.878,3.656,0.208
19,51,46,45,1,6,0.978,0.882,0.928,3.26,0.206
20,51,46,45,1,6,0.978,0.882,0.928,3.229,0.205
21,51,45,45,1,6,0.978,0.882,0.928,3.305,0.207
22,51,46,46,1,5,0.979,0.902,0.939,3.342,0.206
23,51,46,46,0,5,1.0,0.902,0.948,3.373,0.209
24,51,49,46,0,5,1.0,0.902,0.948,3.411,0.211
25,50,48,45,2,5,0.957,0.9,0.928,3.484,0.214
26,50,48,48,0,2,1.0,0.96,0.98,3.278,0.208
27,53,46,48,0,5,1.0,0.906,0.95,3.264,0.206
28,53,50,48,0,5,1.0,0.906,0.95,3.423,0.206
29,53,51,47,2,6,0.959,0.887,0.922,3.356,0.209
30,53,50,48,3,5,0.941,0.906,0.923,3.326,0.209
31,52,50,42,9,10,0.824,0.808,0.816,3.45,0.208
32,52,51,42,9,10,0.824,0.808,0.816,3.402,0.209
33,52,50,42,9,10,0.824,0.808,0.816,3.408,0.209
34,52,50,43,8,9,0.843,0.827,0.835,3.304,0.207
35,52,48,46,4,6,0.92,0.885,0.902,3.262,0.211
36,52,51,41,11,11,0.788,0.788,0.788,3.644,0.26
