frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,35,33,2,19,0.943,0.635,0.759,3.973,6.466
2,52,35,32,1,20,0.97,0.615,0.753,4.139,0.233
3,51,34,34,2,17,0.944,0.667,0.782,4.094,0.232
4,51,39,34,3,17,0.919,0.667,0.773,4.015,0.231
5,51,42,35,4,16,0.897,0.686,0.778,3.857,0.232
6,51,39,37,3,14,0.925,0.725,0.813,4.217,0.236
7,50,41,41,0,9,1.0,0.82,0.901,4.113,0.239
8,50,41,40,1,10,0.976,0.8,0.879,3.763,0.241
9,50,41,41,1,9,0.976,0.82,0.891,4.009,0.239
10,50,39,41,0,9,1.0,0.82,0.901,3.878,0.24
11,50,41,41,0,9,1.0,0.82,0.901,4.123,0.241
12,51,43,41,1,10,0.976,0.804,0.882,4.135,0.244
13,51,43,42,2,9,0.955,0.824,0.884,4.302,0.245
14,51,42,42,2,9,0.955,0.824,0.884,4.056,0.247
15,51,41,42,2,9,0.955,0.824,0.884,3.934,0.244
16,51,40,40,2,11,0.952,0.784,0.86,4.174,0.245
17,51,42,38,2,13,0.95,0.745,0.835,4.564,0.249
18,51,39,40,1,11,0.976,0.784,0.87,4.351,0.246
19,51,39,39,1,12,0.975,0.765,0.857,4.295,0.25
20,51,40,40,1,11,0.976,0.784,0.87,4.127,0.246
21,51,40,41,0,10,1.0,0.804,0.891,4.289,0.245
22,51,39,41,1,10,0.976,0.804,0.882,4.326,0.247
23,51,42,41,0,10,1.0,0.804,0.891,4.368,0.246
24,51,45,42,0,9,1.0,0.824,0.903,4.382,0.246
25,50,40,41,2,9,0.953,0.82,0.882,4.289,0.247
26,50,36,39,2,11,0.951,0.78,0.857,3.91,0.248
27,53,41,41,0,12,1.0,0.774,0.872,4.0,0.248
28,53,44,42,0,11,1.0,0.792,0.884,4.044,0.249
29,53,44,41,3,12,0.932,0.774,0.845,3.84,0.247
30,53,43,41,5,12,0.891,0.774,0.828,4.038,0.247
31,52,42,41,4,11,0.911,0.788,0.845,4.334,0.245
32,52,43,40,4,12,0.909,0.769,0.833,4.008,0.249
33,52,40,39,3,13,0.929,0.75,0.83,3.936,0.248
34,52,43,39,4,13,0.907,0.75,0.821,3.867,0.248
35,52,44,41,3,11,0.932,0.788,0.854,3.885,0.251
36,52,43,42,2,10,0.955,0.808,0.875,4.128,0.248
37,52,46,43,3,9,0.935,0.827,0.878,4.118,0.246
38,52,42,44,5,8,0.898,0.846,0.871,4.294,0.248
39,52,41,42,3,10,0.933,0.808,0.866,4.503,0.249
40,52,46,41,3,11,0.932,0.788,0.854,4.294,0.247
41,52,49,42,3,10,0.933,0.808,0.866,4.414,0.249
42,52,47,46,2,6,0.958,0.885,0.92,4.274,0.25
43,52,43,46,2,6,0.958,0.885,0.92,4.213,0.247
44,52,45,44,2,8,0.957,0.846,0.898,4.146,0.248
45,52,47,44,2,8,0.957,0.846,0.898,4.071,0.251
46,52,43,47,0,5,1.0,0.904,0.949,4.034,0.248
47,52,46,43,1,9,0.977,0.827,0.896,4.004,0.25
48,52,45,45,1,7,0.978,0.865,0.918,4.27,0.249
49,52,47,44,2,8,0.957,0.846,0.898,3.903,0.25
50,52,47,43,4,9,0.915,0.827,0.869,4.135,0.25
51,52,47,43,4,9,0.915,0.827,0.869,4.03,0.25
52,52,45,46,1,6,0.979,0.885,0.929,3.978,0.25
53,53,44,44,1,9,0.978,0.83,0.898,4.066,0.25
54,55,44,44,2,11,0.957,0.8,0.871,4.014,0.25
55,55,45,43,2,12,0.956,0.782,0.86,4.122,0.249
56,55,45,40,5,15,0.889,0.727,0.8,4.343,0.251
57,55,42,40,5,15,0.889,0.727,0.8,4.2,0.251
58,56,46,40,5,16,0.889,0.714,0.792,4.406,0.25
59,56,44,44,1,12,0.978,0.786,0.871,4.606,0.249
60,56,44,44,0,12,1.0,0.786,0.88,4.653,0.252
61,56,44,43,0,13,1.0,0.768,0.869,4.549,0.253
62,56,44,43,1,13,0.977,0.768,0.86,4.395,0.253
63,56,43,45,0,11,1.0,0.804,0.891,4.181,0.25
64,57,43,44,0,13,1.0,0.772,0.871,4.142,0.258
65,57,47,46,0,11,1.0,0.807,0.893,4.349,0.269
66,57,45,45,1,12,0.978,0.789,0.874,4.438,0.266
67,57,47,45,1,12,0.978,0.789,0.874,4.475,0.266
68,58,49,45,3,13,0.938,0.776,0.849,4.332,0.268
69,58,45,46,2,12,0.958,0.793,0.868,4.399,0.3
70,58,47,46,3,12,0.939,0.793,0.86,4.607,0.272
71,58,44,44,4,14,0.917,0.759,0.83,4.673,0.268
72,58,44,43,2,15,0.956,0.741,0.835,4.771,0.3
73,58,44,45,0,13,1.0,0.776,0.874,5.026,0.314
74,59,44,43,3,16,0.935,0.729,0.819,5.14,0.313
75,59,47,43,3,16,0.935,0.729,0.819,4.952,0.312
76,59,43,44,2,15,0.957,0.746,0.838,4.843,0.313
77,59,44,44,2,15,0.957,0.746,0.838,4.756,0.312
