frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,44,41,3,11,0.932,0.788,0.854,3.057,7.991
2,52,42,38,1,14,0.974,0.731,0.835,2.933,0.0
3,51,42,38,1,13,0.974,0.745,0.844,2.884,0.0
4,51,43,39,2,12,0.951,0.765,0.848,2.97,0.204
5,51,43,39,4,12,0.907,0.765,0.83,2.994,0.0
6,51,43,38,6,13,0.864,0.745,0.8,3.186,0.0
7,50,44,35,10,15,0.778,0.7,0.737,2.855,0.197
8,50,44,31,18,19,0.633,0.62,0.626,3.139,0.0
9,50,44,30,19,20,0.612,0.6,0.606,3.314,0.0
10,50,45,29,20,21,0.592,0.58,0.586,3.164,0.196
11,50,45,27,24,23,0.529,0.54,0.535,3.12,0.0
12,51,45,26,25,25,0.51,0.51,0.51,3.27,0.0
13,51,47,28,23,23,0.549,0.549,0.549,3.578,0.204
14,51,45,36,20,15,0.643,0.706,0.673,3.678,0.0
15,51,45,36,20,15,0.643,0.706,0.673,3.604,0.0
16,51,45,38,18,13,0.679,0.745,0.71,3.521,0.204
17,51,45,38,18,13,0.679,0.745,0.71,3.494,0.0
18,51,45,39,17,12,0.696,0.765,0.729,3.368,0.0
19,51,46,38,18,13,0.679,0.745,0.71,2.977,0.204
20,51,45,38,18,13,0.679,0.745,0.71,3.078,0.0
21,51,45,35,21,16,0.625,0.686,0.654,3.274,0.0
22,51,46,37,20,14,0.649,0.725,0.685,3.269,0.206
23,51,45,39,19,12,0.672,0.765,0.716,3.363,0.0
24,51,45,39,19,12,0.672,0.765,0.716,3.563,0.0
25,50,47,43,16,7,0.729,0.86,0.789,3.019,0.206
26,50,47,44,17,6,0.721,0.88,0.793,3.468,0.0
27,53,47,42,21,11,0.667,0.792,0.724,3.526,0.0
28,53,47,43,21,10,0.672,0.811,0.735,3.531,0.205
29,53,47,46,18,7,0.719,0.868,0.786,4.065,0.0
30,53,47,44,20,9,0.688,0.83,0.752,3.671,0.0
31,52,50,45,19,7,0.703,0.865,0.776,3.717,0.205
32,52,48,46,19,6,0.708,0.885,0.786,3.67,0.0
33,52,48,45,20,7,0.692,0.865,0.769,3.481,0.0
34,52,49,47,18,5,0.723,0.904,0.803,3.288,0.206
35,52,48,47,19,5,0.712,0.904,0.797,3.628,0.0
36,52,48,45,21,7,0.682,0.865,0.763,3.788,0.0
37,52,48,44,23,8,0.657,0.846,0.739,3.496,0.206
38,52,48,46,21,6,0.687,0.885,0.773,3.88,0.0
39,52,48,46,22,6,0.676,0.885,0.767,3.476,0.0
40,52,50,47,21,5,0.691,0.904,0.783,3.629,0.206
41,52,46,48,20,4,0.706,0.923,0.8,3.867,0.0
42,52,46,48,20,4,0.706,0.923,0.8,3.539,0.0
43,52,46,48,20,4,0.706,0.923,0.8,3.411,0.205
44,52,46,48,20,4,0.706,0.923,0.8,3.191,0.0
45,52,46,48,20,4,0.706,0.923,0.8,3.214,0.0
46,52,50,49,19,3,0.721,0.942,0.817,3.069,0.205
47,52,46,49,20,3,0.71,0.942,0.81,2.902,0.0
48,52,46,50,19,2,0.725,0.962,0.826,3.222,0.0
49,52,46,50,19,2,0.725,0.962,0.826,3.012,0.205
50,52,46,50,19,2,0.725,0.962,0.826,2.949,0.0
51,52,46,50,19,2,0.725,0.962,0.826,2.834,0.0
52,52,50,50,19,2,0.725,0.962,0.826,2.943,0.207
53,53,49,50,22,3,0.694,0.943,0.8,3.174,0.0
54,55,49,49,23,6,0.681,0.891,0.772,3.163,0.0
55,55,49,49,23,6,0.681,0.891,0.772,3.271,0.206
56,55,47,51,22,4,0.699,0.927,0.797,3.354,0.0
57,55,47,51,21,4,0.708,0.927,0.803,3.478,0.0
58,56,49,52,20,4,0.722,0.929,0.813,3.544,0.205
59,56,49,52,21,4,0.712,0.929,0.806,3.675,0.0
